doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
buyer-ask-ebay-to-step-in,data/ecommerce/buyer-ask-ebay-to-step-in.md,Người mua yêu cầu eBay can thiệp,https://ocsnext.ebay.com/help/buying/returns-refunds/ask-ebay-to-step-in?id=4701,2026-09-20,not-stated,public-source-summary
buyer-return-item-refund,data/ecommerce/buyer-return-item-refund.md,Người mua trả hàng để nhận hoàn tiền,https://www.ebay.com/help/buyanl/returns-refunds/return-item-refund?id=4041,2026-09-20,not-stated,public-source-summary
ebay-money-back-guarantee,data/ecommerce/ebay-money-back-guarantee.md,Bảo đảm hoàn tiền eBay,https://www.ebay.com/help/policies/ebay/ebay?id=4210,2026-09-20,not-stated,public-source-summary
seller-ask-ebay-to-step-in,data/ecommerce/seller-ask-ebay-to-step-in.md,Người bán yêu cầu eBay can thiệp,https://www.ebay.com/help/selling/managing-returns-refunds/ask-ebay-to-step-in?id=4702,2026-09-20,not-stated,public-source-summary
seller-handle-return-request,data/ecommerce/seller-handle-return-request.md,Người bán xử lý yêu cầu đổi trả,https://ocsnext.ebay.com/help/selling/managing-returns-refunds/handling-return-requests?id=4115,2026-09-20,not-stated,public-source-summary
seller-handling-payment-disputes,data/ecommerce/seller-handling-payment-disputes.md,Người bán xử lý tranh chấp thanh toán,https://www.ebay.com/help/selling/getting-paid/handling-chargebacks?id=4799,2026-09-20,not-stated,public-source-summary
seller-payment-dispute-protection,data/ecommerce/seller-payment-dispute-protection.md,Bảo vệ người bán trước tranh chấp thanh toán,https://www.ebay.com/help/policies/selling-policies/payment-est-seller-protections?id=5293,2026-09-20,not-stated,public-source-summary
seller-refunding-buyers,data/ecommerce/seller-refunding-buyers.md,Người bán hoàn tiền cho người mua,https://www.ebay.com/help/selling/managing-returns-refunds/refunding-buyers?id=5182,2026-09-20,not-stated,public-source-summary
seller-return-policy-options,data/ecommerce/seller-return-policy-options.md,Thiết lập chính sách đổi trả cho người bán,https://www.ebay.com/help/Selling/Returns_Refunds/Setting_up_your_return_policy?id=4368,2026-09-20,not-stated,public-source-summary
seller-return-shipping,data/ecommerce/seller-return-shipping.md,Phí vận chuyển hoàn hàng dành cho người bán,https://www.ebay.com/help/Selling/Returns_Refunds/Return_shipping_for_sellers?id=4703,2026-09-20,not-stated,public-source-summary
